Modelling Realm - Primary,Branded Variable Name,Variable name,CMIP7 Compound Name,Description,Units (from Physical Parameter),Dimensions,NorESM3 name (dependency),CMIP7 Freq.,notes,,
land,evspsbl_tavg-u-hxy-lnd,evapotrans,atmos.evspsbl.tavg-u-hxy-lnd.mon.glb,Total Evapo-Transpiration,kg m-2 s-1,longitude latitude time,QFLX_EVAP_TOT,mon,,,
land,,evapotranspft,land.evspsblVgt.tavg-u-hxy-multi.mon.glb,Vegtype level evapotranspiration,W m-2,longitude latitude pft time,,mon,not possible - column level,QFLX_EVAP_TOT,
land,fAllocLeafVgt_tavg-u-hxy-multi,fAllocLeaf,land.fAllocLeafVgt.tavg-u-hxy-multi.glb,Vegtype NPP allocation to leaves,kg m-2 s-1,longitude latitude pft time,FATES_LEAF_ALLOC_SZPF,mon,,,
land,fAllocRootVgt_tavg-u-hxy-multi,fAllocRoot,land.fAllocRootVgt.tavg-u-hxy-multi.glb,Vegtype NPP allocation to Root,kg m-2 s-1,longitude latitude pft time,FATES_BGSAPWOOD_ALLOC_SZPF + FATES_BGSTRUCT_ALLOC_SZPF + FATES_FROOT_ALLOC_SZPF,mon,,,
land,fAllocWoodVgt_tavg-u-hxy-multi,fAllocWood,land.fAllocWoodVgt.tavg-u-hxy-multi.glb,Vegtype NPP allocation to Wood,kg m-2 s-1,longitude latitude pft time,FATES_BGSAPWOOD_ALLOC_SZPF + FATES_BGSTRUCT_ALLOC_SZPF + FATES_AGSAPWOOD_ALLOC_SZPF + FATES_AGSTRUCT_ALLOC_SZPF,mon,,,
land,fBNF_tavg-u-hxy-lnd,fBNF,land.fBNF.tavg-u-hxy-lnd.mon.glb,Biological Nitrogen Fixation,kg m-2 s-1,longitude latitude time,,mon,,,
land,,fCH4Fire,land.fCH4Fire.tavg-u-hxy-lnd.mon.glb,CH4 Emission from Fire,kg m-2 s-1,longitude latitude time,,mon,,,
land,freezeDepth_tavg-u-hxy-lnd,fdepth,land.freezeDepth.tavg-u-hxy-lnd.mon.glb,Frozen layer thickness,m,longitude latitude time,FROST_TABLE,mon,,,
land,fFire_tavg-u-hxy-lnd,fFire,land.fFire.tavg-u-hxy-lnd.mon.glb,CO2 Emission from Fire,kg m-2 s-1,longitude latitude time,FATES_FIRE_CLOSS,mon,,,
land,,fFireCH4pft,land.fCH4FireVgt.tavg-u-hxy-multi.mon.glb,CH4 emitted from fires by pft,kg m-2 s-1,latitude longitude pft time,,mon,,,
land,,fFireCOpft,land.fCOFireVgt.tavg-u-hxy-multi.mon.glb,CO emitted from fires by pft,kg CO m-2 s-1,latitude longitude pft time,,mon,,,
land,,fFireCsoil,land.fFirecSoil.tavg-u-hxy-lnd.glb,CO2 Emission from Csoil due to Fire,kg m-2 s-1,longitude latitude time,,mon,,,
land,fFirecVeg_tavg-u-hxy-lnd,fFireCveg,land.fFirecVeg.tavg-u-hxy-lnd.glb,CO2 Emission from Cveg due to Fire,kg m-2 s-1,longitude latitude time,FATES_FIRE_CLOSS_LIVEFUELS,mon,,,
land,,fFireLitter,land.fFireLitter.tavg-u-hxy-lnd.glb,CO2 Emission from Litter due to Fire,kg m-2 s-1,longitude latitude time,,mon,,,
land,,ffirepeatTotal,land.fFirePeat.tavg-u-hxy-lnd.mon.glb,Carbon emitted from peat fires,kg m-2 s-1,latitude longitude time,,mon,,,
land,,fFirepft,land.fFireVgt.tavg-u-hxy-multi.mon.glb,Vegtype level CO2 Emission from Fire,kg m-2 s-1,longitude latitude pft time,,mon,,,
land,,fFirepft,land.fFireVgt.tavg-u-hxy-multi.yr.glb,Carbon emitted from fires by pft,kg m-2 s-1,latitude longitude pft time,,yr,,,
land,,firedurationTotal,land.fireDuration.tavg-u-hxy-lnd.mon.glb,Weighted Mean Fire Duration,s,latitude longitude time,,mon,,,
land,fireIntensity_tavg-u-hxy-lnd,fireintsTotal,land.fireIntensity.tavg-u-hxy-lnd.mon.glb,Weighted Mean Fireline Intensity,kW m-1,latitude longitude time,FATES_FIRE_INTENSITY,mon,,,
land,fireMortality_tavg-u-hxy-lnd,firemortalityTotal,land.fireMortality.tavg-u-hxy-lnd.mon.glb,Tree Mortality Caused by Fire,%,latitude longitude time,FATES_MORTALITY_FIRE_CFLUX_PF(1:15) / FATES_VEGC_PF(1:15),mon,,,
land,,firenrperc95Total,land.fireNumberP95.tavg-u-hxy-lnd.mon.glb,95th Percentile of Number of Fires,n km-2 day-1,latitude longitude time,,mon,,,
land,fireNumber_tavg-u-hxy-lnd,firenrTotal,land.fireNumber.tavg-u-hxy-lnd.mon.glb,Mean Number of Fires,n km-2 day-1,latitude longitude time,FATES_IGNITIONS * FATES_FRAC,mon,,,
land,fireRos_tavg-u-hxy-lnd,firerosTotal,land.fireRos.tavg-u-hxy-lnd.mon.glb,Weighted Mean Fire Rate of Spread,m s-1,latitude longitude time,FATES_ROS * FATES_FRAC,mon,,,
land,,firesizeperc95Total,land.fireSizeP95.tavg-u-hxy-lnd.mon.glb,95th Percentile of Fire Size,km2,latitude longitude time,,mon,,,
land,fireSize_tavg-u-hxy-lnd,firesizeTotal,land.fireSize.tavg-u-hxy-lnd.mon.glb,Weighted Mean Fire Size,km2,latitude longitude time,(FATES_WILDFIRE_BURNFRAC*(3600*24)/FATES_IGNITIONS) * FATES_FRAC,mon,,,
land,fLeafLitter_tavg-u-hxy-lnd,fLeafLitter,land.fLeafLitter.tavg-u-hxy-lnd.mon.glb,Carbon Flux from Leaves to Litter,kg m-2 s-1,longitude latitude time,FATES_LEAFCTURN_USTORY_SZ(1:13) + FATES_LEAFCTURN_CANOPY_SZ(1:13) + FATES_MORTALITY_CFLUX_PF(1:15) *FATES_LEAFC/FATES_VEGC,mon,,,
land,fLitterSoil_tavg-u-hxy-lnd,fLitterSoil,land.fLitterSoil.tavg-u-hxy-lnd.mon.glb,Total Carbon Flux from Litter to Soil,kg m-2 s-1,longitude latitude time,FATES_LITTER_OUT*FATES_FRAC,mon,,,
land,,fN2,land.fN2Vgt.tavg-u-hxy-multi.mon.glb,N2 flux,kg m-2 s-1,longitude latitude time,,mon,,,
land,fN2O_tavg-u-hxy-lnd,fN2O,land.fN2O.tavg-u-hxy-lnd.mon.glb,N2O flux,kg m-2 s-1,longitude latitude time,F_DENIT+F_N2O_DENIT,mon,,,
land,,fN2OFire,land.fN2OFire.tavg-u-hxy-lnd.mon.glb,N2O Emission from Fire,kg m-2 s-1,longitude latitude time,,mon,,,
land,,fN2Opft,land.fN2OVgt.tavg-u-hxy-multi.mon.glb,Vegtype level N2O flux,kg m-2 s-1,longitude latitude time,,mon,,,
land,fNdep_tavg-u-hxy-lnd,fNdep,land.fNdep.tavg-u-hxy-lnd.mon.glb,N deposition (if different than prescribed driver),kg m-2 s-1,longitude latitude time,,mon,,,
