Modelling Realm - Primary,Branded Variable Name,Variable name,CMIP7 Compound Name,Description,Units (from Physical Parameter),Dimensions,NorESM3 name (dependency),CMIP7 Freq.,notes,,
land,wetlandCH4_tavg-u-hxy-lnd,wetlandCH4,land.wetCH4.tavg-u-hxy-lnd.mon.glb,Wetland methane emissions,kg m-2 s-1,longitude latitude time,CH4_SURF_DIFF_SAT+CH4_SURF_EBUL_SAT+CH4_SURF_AERE_SAT,mon,,,
atm,sfcWind_tavg-h10m-hxy-u,wind,atmos.sfcWind.tavg-h10m-hxy-u.mon.glb,Surface wind speed,m s-1,longitude latitude time,U10,mon,,,
land,wtd_tavg-u-hxy-lnd,wtd,land.wtd.tavg-u-hxy-lnd.mon.glb,Perched water table depth,m,longitude latitude time,ZWT_PERCH,mon,,,
land,fN2Onit_tavg-u-hxy-lnd,fN2Onit,land.fN2Onit.tavg-u-hxy-lnd.mon.glb,N₂O emission from nitrification,kg m-2 s-1,longitude latitude time,F_N2O_NIT,mon,,,
land,fN2Odenit_tavg-u-hxy-lnd,fN2Odenit,land.fN2Odenit.tavg-u-hxy-lnd.mon.glb,N₂O emission from denitrification,kg m-2 s-1,longitude latitude time,F_N2O_DENIT,mon,,,
land,fNnitri_tavg-u-hxy-lnd,fNnitri,land.fNnitri.tavg-u-hxy-lnd.mon.glb,Nitrification rate,kg m-2 s-1,longitude latitude time,F_NIT,mon,,,
land,fNdenitri_tavg-u-hxy-lnd,fNdenitri,land.fNdenitri.tavg-u-hxy-lnd.mon.glb,Denitrification rate,kg m-2 s-1,longitude latitude time,F_DENIT,mon,,,
land,,,land.fNOx.tavg-u-hxy-lnd.mon.glb,NOx emissions,kg m-2 s-1,longitude latitude time,,mon,,,
land,,,land.fNH3vol.tavg-u-hxy-lnd.mon.glb,NH3 volatilization,kg m-2 s-1,longitude latitude time,,mon,,,
land,,,land.fNHarvest.tavg-u-hxy-lnd.mon.glb,Harvest N,kg m-2 s-1,longitude latitude time,,mon,,,
land,,,land.fNGraz.tavg-u-hxy-lnd.mon.glb,Grazed N,kg m-2 s-1,longitude latitude time,,mon,,,
land,,,land.fCH4Vgt.tavg-u-hxy-multi.mon.glb,PFT-level CH4 emission,kg m-2 s-1,longitude latitude pft time,,mon,,,
land,,,land.fCH4Lut.tavg-u-hxy-lut.mon.glb,CH4 emission by land use type,kg m-2 s-1,longitude latitude lutype time,,mon,,,
land,fCH4Soil_tavg-u-hxy-lnd,fch4layer,land.fCH4Soil.tavg-u-hxy-lnd.mon.glb,Soil methane flux (net emission),kg m-2 s-1,latitude longitude time,CH4PROD/1000,mon,,,
land,,,land.fCH4SoilLayer.tavg-sl-hxy-lnd.mon.glb,Soil methane flux by layer,kg m-2 s-1,longitude latitude layer time,,mon,,,
land,,,land.fCH4Fire.tavg-u-hxy-lnd.mon.glb,Fire CH4 emission,kg m-2 s-1,latitude longitude time,,mon,,,
land,,,land.fCH4Vgt.tavg-u-hxy-multi.mon.glb,PFT-level CH4 emission,kg m-2 s-1,longitude latitude pft time,,mon,,,
land,,,land.fCH4Lut.tavg-u-hxy-lut.mon.glb,CH4 emission by land use type,kg m-2 s-1,longitude latitude lutype time,,mon,,,
land,,,land.fFirePeat.tavg-u-hxy-lnd.mon.glb,Carbon emitted from peat fires,kg m-2 s-1,latitude longitude time,,mon,,,
land,,,land.fFireVgt.tavg-u-hxy-multi.yr.glb,Carbon emitted from fires by pft,kg m-2 s-1,latitude longitude pft time,,yr,,,
land,albedoSw_tavg-u-hxy-lnd,,land.albedoSw.tavg-u-hxy-lnd.mon.glb,Shortwave albedo,(-),longitude latitude time,,mon,FSR/FSDS,,
land,albedoLw_tavg-u-hxy-lnd,,land.albedoLw.tavg-u-hxy-lnd.mon.glb,Longwave albedo,(-),longitude latitude time,,mon,FIRE/FLDS??,,
land,rhSoilVr_tavg-sl-hxy-lnd,,land.rhSoilVr.tavg-sl-hxy-lnd.mon.glb,Vertically resolved soil respiration,kg m-2 s-1,longitude latitude nsoil time,,mon,HR_vr/1000,duplicate,
land,,,land.sulfateApplied.tavg-u-hxy-wet.mon.glb,Sulfate applied (wetlands),kg C /ha yr-1,longitude latitude time,,mon,,,
land,,,land.fireIgnitionsSuppressed.tavg-u-hxy-lnd.mon.glb,Fire ignitions suppressed,#,longitude latitude time,,mon,,,
land,,,land.firePrescribedFrac.tavg-u-hxy-u.mon.glb,Prescribed fire area,%,longitude latitude time,,mon,,,
